the,23135851162
of,13151942776
and,12997637966
to,12136980858
a,9081174698
in,8469404971
for,5933321709
is,4705743816
on,3750423199
that,3400031103
by,3350048871
this,3220455850
with,3183110675
i,3086225277
you,2996181025
it,2813163874
not,2638174386
or,2590739907
be,2398715975
are,2393664858
from,2275586938
at,2273611414
as,2249053941
your,2062323719
all,2022421369
have,1564202750
new,1551226068
more,1429815042
an,1375631524
was,1352732800
we,1292070414
will,1258066546
home,1189445882
can,1166348879
us,1153174241
about,1144211634
if,1104675713
page,1085203399
my,1051871279
has,1038221085
search,1024093118
free,1013809377
but,1001552599
our,998592398
one,996964177
other,978481319
do,951111718
no,937402633
